timestamp,q[0],q[1],q[2],q[3]
651830910,0.6794954,0.005421689,-0.016418874,0.733476
651883710,0.67949873,0.005417256,-0.016414786,0.73347306
651935714,0.6794958,0.00540919,-0.016405884,0.7334761
651987720,0.67950046,0.005413847,-0.016413746,0.7334715
652300511,0.67947066,0.005293545,-0.016594673,0.733496
652352516,0.6794302,0.005178642,-0.016583154,0.73353446
652404559,0.67947656,0.005077939,-0.016613629,0.7334916
652456531,0.6795142,0.004966545,-0.016621282,0.73345727
652508517,0.6794476,0.004757339,-0.016631981,0.7335201
652564507,0.6794871,0.00467064,-0.016684927,0.73348284
652616516,0.67944753,0.004724687,-0.01660973,0.7335209
652668511,0.67949903,0.004692748,-0.016671836,0.73347205
652720511,0.6795116,0.004660767,-0.016690478,0.7334601
652772531,0.6794624,0.004603008,-0.016683042,0.73350626
652824516,0.6795426,0.004458039,-0.016747473,0.73343134
652876511,0.67941755,0.004440394,-0.016722688,0.73354787
652928513,0.67944294,0.004631854,-0.016763289,0.73352224
652981461,0.6794912,0.004618939,-0.016706826,0.73347884
653034118,0.6794614,0.004476098,-0.016832527,0.73350453
653086139,0.6794567,0.004527355,-0.01680522,0.7335091
653138119,0.6793622,0.00451192,-0.01682208,0.73359644
653190116,0.6794142,0.004385474,-0.016884709,0.73354757
653242140,0.6794334,0.004164456,-0.016947234,0.7335297
653294119,0.67941695,0.004127215,-0.017006794,0.73354375
653346127,0.6794065,0.004218324,-0.016966872,0.73355377
653398138,0.6794114,0.004292768,-0.016955663,0.7335491
653450117,0.679435,0.004207572,-0.016938256,0.7335281
653506120,0.679419,0.00416491,-0.016927788,0.73354346
653558114,0.67940176,0.004208581,-0.016911265,0.73355955
653610127,0.6794695,0.004250058,-0.01686716,0.73349756
653662137,0.6794544,0.00420578,-0.016860396,0.733512
653715019,0.6794397,0.003965939,-0.016861692,0.73352695
653767027,0.67945427,0.004112391,-0.016862843,0.7335126
653819023,0.67938936,0.004281316,-0.016764408,0.73357403
653871038,0.6794662,0.004276556,-0.01680974,0.73350185
653922913,0.6794999,0.004150346,-0.016845534,0.7334705
653974911,0.67938185,0.004158667,-0.01688284,0.733579
654026911,0.6794756,0.004317156,-0.016869444,0.7334915
654078915,0.67938966,0.004333453,-0.01688917,0.7335705
654130920,0.67945206,0.004374797,-0.016883673,0.7335126
654182932,0.6794854,0.004388978,-0.016901815,0.7334812
654234914,0.6794372,0.004431802,-0.016857391,0.7335266
654286915,0.6794653,0.004482832,-0.016849741,0.73350054
654338914,0.6794356,0.00439049,-0.016835745,0.7335289
654394908,0.6794427,0.004255683,-0.016900929,0.7335216
654446909,0.67942524,0.004221856,-0.01683931,0.7335394
654498912,0.67940265,0.004313191,-0.016860615,0.7335593
654550936,0.6794695,0.004326291,-0.016811555,0.7334984
654602914,0.67939836,0.004347968,-0.016835334,0.7335636
654656511,0.67939,0.004190401,-0.016810656,0.7335729
654708513,0.67941743,0.004101914,-0.016871618,0.73354656
654760513,0.6794054,0.004152631,-0.016857374,0.7335577
654812525,0.67946005,0.004218028,-0.016845535,0.73350704
654864515,0.6794227,0.004269147,-0.016843416,0.73354137
654916515,0.6794948,0.00432449,-0.016865542,0.7334737
654972548,0.67945457,0.004354731,-0.016829992,0.7335116
655024509,0.679456,0.004466911,-0.01684389,0.73350936
655076516,0.6794487,0.004465712,-0.016879624,0.7335152
655128509,0.6794022,0.004419356,-0.016885975,0.73355854
655180514,0.67940444,0.00437426,-0.016841028,0.73355776
655232537,0.6794431,0.004298932,-0.016861157,0.7335219
655284513,0.6794086,0.004417409,-0.016855652,0.7335533
655337430,0.6794731,0.004247638,-0.016900826,0.7334935
655389446,0.679384,0.003598727,-0.017021658,0.73357666
655441439,0.6793477,0.003231373,-0.017168932,0.73360866
655497424,0.67942905,0.002793327,-0.0173516,0.73353076
655549421,0.6795297,0.002555432,-0.017527064,0.73343414
655601320,0.67959905,0.002432329,-0.017698279,0.73336625
655653318,0.67962855,0.002227843,-0.017860569,0.7333357
655705327,0.6796585,0.002324958,-0.017903442,0.7333065
655757312,0.67966896,0.002247019,-0.018016927,0.7332943
655809350,0.67972845,0.002130128,-0.01819697,0.73323506
655861317,0.67977244,0.002462282,-0.018313525,0.73319036
655917335,0.67979854,0.003491292,-0.01584394,0.73321944
655969308,0.67963696,0.004502077,-0.013918918,0.73340285
656021316,0.67927843,0.005957347,-0.013199376,0.73373777
656073316,0.6789178,0.005783083,-0.011303355,0.7341045
656125318,0.67848045,0.007456734,-0.011087155,0.73449695
656177319,0.6781741,0.007433476,-0.009698152,0.7347998
656229350,0.6780839,0.007157,-0.011012998,0.7348672
656282234,0.678007,0.006425068,-0.011169898,0.7349426
656334913,0.6779824,0.005441861,-0.010475538,0.73498344
656386916,0.6779182,0.0050557,-0.009796434,0.73505473
656438916,0.67809427,0.002646789,-0.010385761,0.7348969
656494912,0.67865956,0.003887896,-0.012222503,0.734341
656546934,0.6794748,0.00322617,-0.011891492,0.73359543
656598917,0.6801841,0.003055509,-0.014720507,0.7328872
656650914,0.6809422,0.003335833,-0.015795393,0.73215926
656702916,0.6816127,0.004122768,-0.015586406,0.7315356
656754913,0.6820226,0.005856417,-0.017928485,0.7310879
656806917,0.6819967,0.004105043,-0.016867295,0.7311492
656858916,0.6820012,0.00469773,-0.015749382,0.7311664
656914927,0.68165153,0.004753012,-0.016048871,0.73148555
656967828,0.680982,0.003142147,-0.016946172,0.7320974
657019836,0.68055654,0.004620621,-0.016174914,0.73250246
657071866,0.68031096,0.005290314,-0.017587852,0.7326935
657123834,0.6801143,0.004714084,-0.01825726,0.7328636
657175832,0.68021655,0.005969269,-0.01885149,0.7327445
657227715,0.6804312,0.004862801,-0.01721456,0.73259366
657279735,0.68061167,0.004287707,-0.018880421,0.73238856
657331718,0.6807877,0.004548631,-0.018970389,0.732221
657387718,0.68075466,0.005380035,-0.020188456,0.73221356
657439740,0.680457,0.004957003,-0.02090495,0.7324731
657491736,0.6801402,0.004982923,-0.020266049,0.73278505
657543710,0.67965335,0.006677529,-0.019902445,0.7332331
657595714,0.6794017,0.005829367,-0.018645853,0.7335065
657647727,0.6789534,0.004895204,-0.018754639,0.7339255
657699713,0.67839605,0.005362909,-0.017866911,0.73445964
657751733,0.67787015,0.005743651,-0.019698642,0.7348953
657803717,0.67742413,0.005187069,-0.019954193,0.7353037
657855714,0.6771383,0.00668052,-0.019950185,0.73555493
657905317,0.6768741,0.006645259,-0.019951576,0.7357984
657961324,0.67657113,0.006694289,-0.020573627,0.73605937
658013317,0.67632204,0.008078032,-0.019541305,0.73630255
658065316,0.67608136,0.008338383,-0.020221723,0.73650235
658117317,0.67585397,0.008562277,-0.020088542,0.73671204
658169330,0.6756542,0.008774263,-0.019229915,0.7369157
658221325,0.6754362,0.008960346,-0.020165248,0.73708826
658273360,0.67522246,0.009032058,-0.020619417,0.73727065
658325319,0.6750338,0.008921016,-0.020384151,0.7374513
658381316,0.6748769,0.009264732,-0.0194595,0.7376155
658433313,0.6747226,0.009315955,-0.019064376,0.73776644
658485311,0.67455673,0.009383732,-0.019087052,0.7379166
658537311,0.674388,0.009751111,-0.018222163,0.73808795
658589309,0.67422783,0.009973138,-0.018456515,0.73822546
658642244,0.67406017,0.00924806,-0.018224385,0.7383938
658694238,0.674001,0.010107979,-0.018954225,0.73841816
658746231,0.6740176,0.009610611,-0.01849194,0.7384213
658798247,0.67396927,0.009364375,-0.01823692,0.73847497
658850231,0.6739203,0.009292271,-0.01817828,0.73852205
658902153,0.6739567,0.009066012,-0.018602667,0.738481
658954146,0.6739838,0.009140328,-0.018884687,0.73844814
659006128,0.67397004,0.008884226,-0.01926337,0.73845404
659058133,0.67397916,0.009058194,-0.019394517,0.7384402
659110127,0.6740203,0.008536628,-0.020214688,0.7383869
