timestamp,x,y,z,yaw
651830910,0.20133315,0.005978755,-0.000181195,1.6474196
651927730,0.20114039,0.005996836,-0.000108616,1.6474174
652336513,0.20072114,0.006049069,0.000306352,1.6475776
652440518,0.20065312,0.005920688,0.00046535,1.6474926
652536513,0.20057124,0.00542906,0.000544553,1.6477101
652640517,0.20045452,0.00487662,0.000570411,1.6473027
652744509,0.20023401,0.004279852,0.000453133,1.6475282
652840519,0.20007946,0.003864403,0.000269779,1.6475587
652944508,0.19981828,0.003996964,-7.69E-05,1.6475255
653046120,0.19973211,0.004449159,-0.00045389,1.647401
653150131,0.19971932,0.005161364,-0.000847306,1.6477123
653254120,0.1999255,0.006018779,-0.001246624,1.6476207
653358115,0.20009275,0.006817437,-0.001577742,1.6476326
653454140,0.2003455,0.007319105,-0.001773666,1.6476325
653558114,0.2007864,0.007500828,-0.001794322,1.6476959
653662137,0.20133491,0.007176594,-0.001738874,1.6475523
653759037,0.20179144,0.006619252,-0.001803031,1.6475313
653863016,0.20219706,0.005977884,-0.00204171,1.6475685
653966911,0.20230627,0.005524423,-0.002305328,1.6476898
654062916,0.20230846,0.005419156,-0.002566239,1.6474942
654166906,0.20234498,0.005745909,-0.00265411,1.6475562
654270918,0.20256107,0.006202008,-0.002522125,1.6476462
654366914,0.202865,0.006491877,-0.002410736,1.6474792
654470910,0.20311858,0.006627464,-0.00237344,1.6476237
654574926,0.20323789,0.006576147,-0.002352953,1.6476744
654672512,0.20323886,0.006241927,-0.002285142,1.6476926
654776512,0.20299967,0.006031299,-0.002132659,1.6476249
654880509,0.2025124,0.006096661,-0.001910103,1.6476239
654976518,0.20206487,0.006426469,-0.001597398,1.6475868
655080510,0.20154047,0.007050328,-0.001238581,1.6476076
655184510,0.20107265,0.007747934,-0.000800227,1.6476314
655280512,0.2007423,0.008173194,-0.000333852,1.6476432
655381425,0.200633,0.008277054,9.57E-05,1.6475853
655485418,0.20050356,0.008120242,0.000591033,1.6476662
655589319,0.20024806,0.007612126,0.001192325,1.647273
655693329,0.19980031,0.006751053,0.002133366,1.6471124
655789312,0.19931568,0.00590196,0.003020651,1.6469796
655893353,0.19904616,0.004905361,0.003528964,1.6462501
655997332,0.1997698,0.003039442,-0.002385245,1.6476839
656093332,0.20081502,0.000748115,-0.020174861,1.6493615
656197312,0.2014374,-0.001974187,-0.049746007,1.6511511
656295023,0.20094067,-0.004255711,-0.07926502,1.6513401
656398918,0.19856393,-0.006879935,-0.10886537,1.6515088
656502913,0.1950178,-0.009876374,-0.13746546,1.6493163
656606911,0.19044314,-0.013835278,-0.16627048,1.6452422
656702916,0.18631752,-0.017756922,-0.19200888,1.6416564
656806917,0.18229802,-0.021623181,-0.21791431,1.6406096
656910938,0.17845389,-0.02510086,-0.24335143,1.6413615
657007825,0.17470552,-0.028319137,-0.26603803,1.6442477
657111835,0.17133227,-0.031386223,-0.29087576,1.6455754
657215728,0.168507,-0.03384163,-0.318234,1.6449975
657311726,0.16605383,-0.035780173,-0.35021847,1.6438661
657415719,0.16393118,-0.037398133,-0.38818374,1.6443777
657519718,0.16302156,-0.038335145,-0.4285189,1.646469
657615718,0.16276963,-0.03904467,-0.46683225,1.6481181
657719710,0.16290283,-0.03990311,-0.50863886,1.6510206
657823733,0.16333964,-0.041286673,-0.5503214,1.6533753
657925314,0.16426696,-0.04317107,-0.5915348,1.654982
658021360,0.16588333,-0.04524248,-0.62976396,1.6562233
658125319,0.16795689,-0.047615014,-0.6705827,1.6573299
658229314,0.16977645,-0.04992786,-0.71125174,1.6585433
658325319,0.17148486,-0.051650245,-0.7488368,1.6594856
658429314,0.17344902,-0.052891176,-0.79011756,1.6602908
658533320,0.17541839,-0.05358031,-0.8309565,1.661106
658630233,0.17678834,-0.053899154,-0.86885506,1.6620045
658734234,0.17751475,-0.05399571,-0.90915996,1.6622084
658838132,0.17765662,-0.054059763,-0.9493985,1.6624877
658934139,0.17724928,-0.054333024,-0.9864724,1.6622506
659038160,0.17607109,-0.05457433,-1.027147,1.6623544
659142136,0.17446105,-0.054767273,-1.0677863,1.6621698
659246131,0.17263354,-0.054866675,-1.1079354,1.6625384
659342126,0.17074125,-0.05474079,-1.1454346,1.6624054
659446140,0.16885406,-0.054214112,-1.186027,1.6624074
659543026,0.16713549,-0.0534272,-1.2239804,1.6622931
659647026,0.16552953,-0.05253191,-1.2554451,1.6617718
659751023,0.1644686,-0.051299307,-1.266814,1.6617283
659854934,0.16404043,-0.049297336,-1.2643108,1.6622578
659950929,0.16395277,-0.046652343,-1.2581382,1.6627116
660054928,0.16405846,-0.043058224,-1.2507403,1.6637483
660158911,0.16419645,-0.039262954,-1.244875,1.6647321
660254917,0.1643755,-0.03603418,-1.2412509,1.6655513
660358913,0.16471168,-0.03296513,-1.2395144,1.666089
660462909,0.16497175,-0.030739784,-1.2393389,1.6665144
660560511,0.16501151,-0.029576793,-1.2400649,1.6665194
660664526,0.16482341,-0.029277207,-1.241976,1.6662705
660768513,0.16463287,-0.029617717,-1.2447015,1.6656762
660864513,0.16445175,-0.030367004,-1.2466767,1.6655108
660968520,0.1642571,-0.031291336,-1.246203,1.6651452
661072556,0.164096,-0.0321105,-1.2454268,1.6649551
661168516,0.16421382,-0.032310672,-1.2445308,1.6647577
661269450,0.16420315,-0.031880796,-1.2438283,1.6646124
661373431,0.16431025,-0.030524373,-1.242869,1.6646079
661477332,0.16470891,-0.028640358,-1.2412013,1.6649759
661573318,0.16538736,-0.026662573,-1.2394414,1.6648343
661677332,0.16619849,-0.024374016,-1.2338941,1.6648828
661781318,0.16709457,-0.022259077,-1.2246281,1.6649041
661877319,0.16802953,-0.020485954,-1.2166378,1.6654843
661981314,0.16920342,-0.018829763,-1.2079216,1.6657467
662085318,0.17016603,-0.01749388,-1.1990485,1.6662207
662182920,0.17112614,-0.01639964,-1.1906841,1.6664588
662286913,0.17196374,-0.015560036,-1.1816853,1.6665189
662390909,0.17274225,-0.015006037,-1.1735108,1.6664053
662486915,0.17334296,-0.01464901,-1.1657766,1.6665735
662590911,0.17341562,-0.014568674,-1.1574531,1.6663604
662694910,0.17303383,-0.015022305,-1.1493993,1.6665537
662790931,0.17235622,-0.015704919,-1.1422704,1.666665
662895826,0.17084302,-0.016336989,-1.1348855,1.6668369
662999850,0.16909161,-0.016727187,-1.1274954,1.6669265
663095713,0.16750301,-0.016994838,-1.1209253,1.6669157
663199727,0.1659382,-0.017298149,-1.1137271,1.6668419
663303729,0.16466415,-0.017485842,-1.1067642,1.6667486
663407726,0.16390009,-0.017900301,-1.0993745,1.6669039
663503748,0.16369677,-0.018140309,-1.0925924,1.6671097
663607711,0.16420998,-0.018019076,-1.085631,1.6670736
663711766,0.1653426,-0.017451886,-1.0788106,1.666861
663812624,0.1665122,-0.016751684,-1.0719681,1.6665349
663908627,0.16769272,-0.015935205,-1.0656432,1.6666752
664012530,0.16893552,-0.015021551,-1.0586424,1.6665217
664116511,0.17026228,-0.014250519,-1.0517333,1.6666056
664212519,0.17151237,-0.013504473,-1.0452895,1.6667802
664316512,0.17282934,-0.012879149,-1.03842,1.6670872
664420514,0.17414065,-0.012280965,-1.0323046,1.6673524
664516514,0.17531563,-0.011617435,-1.0289071,1.6681373
664620513,0.17657104,-0.010813599,-1.0285944,1.6688086
664725432,0.1781227,-0.010177625,-1.0286375,1.669151
664821426,0.17983218,-0.00991269,-1.0286742,1.6690031
664925422,0.18162553,-0.009925355,-1.0290719,1.668702
665029316,0.18335167,-0.010423425,-1.0295917,1.6688441
665125311,0.18456668,-0.011114541,-1.0297023,1.6690202
665229309,0.18538803,-0.011911899,-1.0291808,1.6692051
665333340,0.18591395,-0.012439473,-1.0285823,1.6693875
665437328,0.18605094,-0.012619188,-1.027848,1.6690667
665533311,0.18595852,-0.012456997,-1.0270165,1.6685332
665638926,0.1856933,-0.011925825,-1.0256517,1.6685157
665734920,0.18515491,-0.011306585,-1.0244472,1.6684272
665838916,0.1844639,-0.010478638,-1.0229899,1.6686597
665942916,0.18340173,-0.009314709,-1.0213494,1.668413
666038928,0.18244338,-0.008105162,-1.0200138,1.6685805
666142912,0.18159859,-0.006755947,-1.0185254,1.669015
666246929,0.18103024,-0.005438865,-1.0170516,1.6695588
666343823,0.18095228,-0.004322312,-1.0158927,1.6696064
666447837,0.1811771,-0.003227263,-1.0149239,1.6695288
666551855,0.18202257,-0.002294896,-1.0143337,1.6698724
666655720,0.18341127,-0.001601756,-1.0141006,1.6706041
666751719,0.18501079,-0.001093607,-1.0140887,1.6714288
666855727,0.18712324,-0.000470018,-1.013789,1.6729226
666959716,0.18939011,0.000296192,-1.013525,1.6744579
667055720,0.19148375,0.000897578,-1.0135744,1.675134
667159726,0.19352001,0.001424401,-1.0138056,1.6749779
667263714,0.19528928,0.001834095,-1.0141909,1.6737744
667365315,0.196639,0.002114509,-1.0148425,1.6722391
667461326,0.19748607,0.002443599,-1.0158137,1.6701913
667565310,0.19806153,0.002724285,-1.0167477,1.6678047
667669311,0.19841622,0.002896281,-1.0175565,1.6656029
667765350,0.19851083,0.002783616,-1.0182878,1.6638147
667869317,0.19865395,0.002338687,-1.0186456,1.6616573
667974227,0.19888295,0.001487452,-1.0191299,1.6595674
668070933,0.19906905,0.00061253,-1.0196265,1.6581576
668174919,0.19919302,-0.000707623,-1.0195119,1.6575682
668278913,0.19935225,-0.002316177,-1.0190908,1.6572678
668374913,0.19990197,-0.003815704,-1.0189698,1.6574705
668478916,0.20067503,-0.005161761,-1.0188656,1.6578039
668582914,0.20165403,-0.006247724,-1.0181612,1.6581955
668683821,0.20282425,-0.007032014,-1.017676,1.6585598
668779836,0.20402497,-0.007558528,-1.0175514,1.6589341
668883825,0.20543219,-0.007987003,-1.0177084,1.6592052
668987715,0.20695177,-0.008519924,-1.017249,1.658839
669091744,0.20852807,-0.008938298,-1.017082,1.6578726
669187719,0.20995158,-0.009177507,-1.017299,1.6565328
669291728,0.21139596,-0.009315616,-1.0175289,1.6558281
669395711,0.2124197,-0.009114438,-1.0179152,1.655422
669491748,0.21292484,-0.008679285,-1.0180753,1.6551039
669595720,0.21340089,-0.007591546,-1.0182219,1.6549158
669700625,0.21359354,-0.004445968,-1.01863,1.6548481
669804625,0.21368696,0.002489695,-1.0188164,1.6545465
669900529,0.21374214,0.01231097,-1.0188118,1.6545897
670004517,0.21383607,0.025223069,-1.0191159,1.6541512
670108513,0.21398519,0.038674112,-1.0200061,1.6535279
670204516,0.21426296,0.050157744,-1.0207381,1.6537442
670308509,0.21506855,0.060129922,-1.0212009,1.6550195
670412514,0.21667062,0.0667592,-1.0210325,1.6575991
670508515,0.2185265,0.06993996,-1.0211303,1.6596931
670613417,0.22096305,0.070655435,-1.0208311,1.6619593
670717451,0.22380005,0.06937153,-1.0201229,1.6642023
670813319,0.22690907,0.06711776,-1.0195202,1.6665951
670917311,0.23065172,0.06457247,-1.0185236,1.6702985
671021325,0.23451088,0.06303372,-1.0172716,1.6747445
671117328,0.23826386,0.063236564,-1.0163538,1.6785072
671221322,0.24179101,0.06502029,-1.0149553,1.681001
671325314,0.24474971,0.06738631,-1.0143454,1.6834563
671429314,0.24680386,0.06856522,-1.0143018,1.6857291
671527038,0.24812149,0.06714696,-1.0145026,1.6884077
671630915,0.24927965,0.06265034,-1.0148709,1.6910905
671726911,0.24959159,0.05558896,-1.0149541,1.6924635
671830912,0.24943821,0.045150444,-1.0155276,1.6936014
671934915,0.24839403,0.032980837,-1.0166855,1.6929233
672030914,0.24667561,0.021277236,-1.0175058,1.6921775
672134914,0.24399076,0.009089616,-1.01792,1.6903772
672239848,0.24049567,-0.001872882,-1.018247,1.6893052
672335829,0.2367483,-0.009650378,-1.0184299,1.6880344
672439733,0.23207098,-0.014256983,-1.0179571,1.6860688
672543714,0.22684513,-0.015352284,-1.0182382,1.6836126
672647741,0.22190697,-0.014635371,-1.0197035,1.6814746
672743713,0.21796255,-0.013817957,-1.0210255,1.6778582
672847726,0.21442108,-0.013953988,-1.0227056,1.6743946
672951742,0.21211421,-0.015395713,-1.0245436,1.6714678
673047719,0.21087293,-0.018032635,-1.0265411,1.6692994
673152659,0.21020208,-0.022334713,-1.0283738,1.666912
673256644,0.21014911,-0.027545014,-1.0300534,1.6649584
673352622,0.21027891,-0.032520693,-1.031452,1.6631228
673456527,0.21055895,-0.037590664,-1.0329461,1.6609472
673560515,0.21109234,-0.04195477,-1.0339862,1.6596009
673656527,0.21176235,-0.04522039,-1.0348089,1.6599265
673760510,0.21231535,-0.048050724,-1.0353268,1.6621454
673864516,0.21234713,-0.05053758,-1.0351292,1.6644284
673960512,0.21198365,-0.05268134,-1.0343989,1.6677221
674065453,0.2113499,-0.054678775,-1.0331137,1.6712589
674169437,0.21029826,-0.056273323,-1.0317904,1.6729323
674265419,0.2093927,-0.055588648,-1.0302781,1.6749359
674369326,0.2082313,-0.051307768,-1.0286024,1.6763221
674473342,0.20720561,-0.043887638,-1.0279497,1.6766304
674569344,0.20639662,-0.036205806,-1.0277035,1.6748
674673310,0.20586061,-0.028755875,-1.0283726,1.6725348
674777361,0.20566651,-0.022721836,-1.0292265,1.6698277
674873320,0.20597236,-0.018432628,-1.029675,1.6663836
674977332,0.20668879,-0.015530601,-1.0306057,1.6620588
675082916,0.20770973,-0.014302217,-1.0316153,1.6578486
675178917,0.20907462,-0.013902552,-1.0320464,1.6562107
675282915,0.21085857,-0.013262889,-1.0320101,1.6560749
675386915,0.21249636,-0.011658954,-1.032317,1.6569872
675482917,0.21401931,-0.008853934,-1.0322093,1.6585077
675586914,0.21578853,-0.004547855,-1.0313368,1.6611513
675690917,0.21738839,-5.18E-05,-1.0305662,1.6641454
675787829,0.21870804,0.003013927,-1.0302607,1.6667554
675891836,0.22027484,0.003922319,-1.0303731,1.670514
675995717,0.2218856,0.001662171,-1.0303766,1.673749
676091719,0.22343014,-0.003069519,-1.0304288,1.6750065
676195718,0.22511534,-0.010034021,-1.0304613,1.6741987
676299718,0.22721711,-0.017574914,-1.0301714,1.6724365
676395727,0.22912489,-0.02436938,-1.0299963,1.6677485
676499713,0.23021029,-0.030075835,-1.0296046,1.6621746
676603710,0.23019157,-0.031595387,-1.0283322,1.655535
676704649,0.22860426,-0.026407003,-1.0258908,1.65053
676808618,0.22554128,-0.015622441,-1.0259501,1.6459017
676904531,0.22152422,-0.004432621,-1.0273448,1.6419629
677008511,0.21595748,0.005474743,-1.0289574,1.6379864
677112514,0.20955156,0.010912159,-1.031167,1.6336849
677208513,0.20284386,0.011356749,-1.0327797,1.6291845
677312512,0.19498175,0.006762912,-1.0347365,1.6227831
677416518,0.18654776,-0.002174644,-1.036041,1.6168591
677512514,0.17859083,-0.01271059,-1.0369382,1.6098344
677614131,0.17040558,-0.024909355,-1.0386708,1.6029657
677718170,0.1627211,-0.03629783,-1.0395982,1.5981914
677822128,0.15557902,-0.045250896,-1.0397778,1.5933523
677918157,0.14976832,-0.05037132,-1.0394825,1.5908552
678022122,0.14441176,-0.052842397,-1.0391208,1.5889642
678126130,0.13986765,-0.05296403,-1.038361,1.5877078
678230119,0.13632023,-0.051681403,-1.0376753,1.5867198
678327028,0.13381398,-0.050897878,-1.0384167,1.5878612
678431023,0.13200286,-0.050788704,-1.0386477,1.5894406
678527019,0.13096786,-0.051656593,-1.0388676,1.5913291
678630915,0.13027112,-0.053527642,-1.0386099,1.5927162
678734918,0.13015959,-0.0561194,-1.0385686,1.5960048
678838928,0.13104269,-0.058667842,-1.039146,1.5980737
678942912,0.1323974,-0.0612001,-1.0398932,1.5984809
679038929,0.13369122,-0.06307496,-1.0401683,1.5995272
679142913,0.13518918,-0.06402238,-1.0402215,1.6014987
679247837,0.13645768,-0.063361496,-1.0401781,1.6026944
679343844,0.13671051,-0.06166621,-1.0406084,1.6035416
679447720,0.1361145,-0.059768684,-1.0420408,1.6021149
679551727,0.1344556,-0.057497352,-1.043096,1.6008015
679647736,0.13219196,-0.053268425,-1.0428921,1.6002737
679751716,0.12898412,-0.046084855,-1.0420974,1.5999795
679855717,0.12574919,-0.037820093,-1.0417578,1.5995785
679951714,0.12323755,-0.03158233,-1.0422405,1.5997461
680055713,0.12120349,-0.0271259,-1.0416439,1.6000134
680160630,0.120289266,-0.025228657,-1.0401821,1.6012616
680256621,0.12048528,-0.02573278,-1.0393138,1.602534
680360631,0.1220186,-0.02776536,-1.0377495,1.604776
680464519,0.12445788,-0.030477973,-1.0351562,1.6054292
680560512,0.12757728,-0.033091154,-1.033072,1.6052947
680664512,0.1321798,-0.03563131,-1.0310664,1.6080333
680768519,0.13775975,-0.037817314,-1.0289333,1.611183
